#;Nome;Fuori lista;Sq.;Under;R.;R.MANTRA;PGv;MV;FM;FVM/1000;QUOT.;FantaSquadra;Costo
6636;Veroli;*;Cagliari;22;D;Ds/Dc;0;0;0;1;1;;
5324;Godfrey;*;Atalanta;27;D;B/Dd/Ds;0;0;0;1;1;;
2847;Sernicola;*;Cremonese;28;D;Dd/Ds/E;0;0;0;1;1;;
7301;Tornqvist;;Como;23;P;Por;0;0;0;1;1;;
7285;Ferrante;;Napoli;19;P;Por;0;0;0;1;1;;
7261;Cavlina;;Como;23;P;Por;0;0;0;1;1;;
7236;Toniolo;;Verona;21;P;Por;0;0;0;1;1;;
7185;Nunziante;;Udinese;18;P;Por;0;0;0;1;1;;
7179;Israel;;Torino;25;P;Por;9;5,89;3,83;1;2;Chi vuol essere paraguaiano;1
7172;Pessina Mas.;;Bologna;18;P;Por;1;6;6;1;2;;
7169;Zelezny;;Roma;19;P;Por;0;0;0;1;1;ASTRO NZONZI;1
7042;Calligaris;;Inter;20;P;Por;0;0;0;1;1;;
6991;Siegrist;;Genoa;33;P;Por;0;0;0;1;1;;
6842;Sava;;Udinese;23;P;Por;7;5,57;3,5;1;2;Salisburro;1
6813;Torriani;;Milan;20;P;Por;0;0;0;1;1;;
6650;Sherri;;Cagliari;28;P;Por;0;0;0;1;1;;
6523;Samooja;;Lecce;22;P;Por;0;0;0;1;1;;
6505;Nava;;Cremonese;21;P;Por;0;0;0;1;1;;
6482;Mandas;;Lazio;24;P;Por;0;0;0;1;1;Eintracht Piangoforte;9
6417;Furlanetto;;Lazio;23;P;Por;0;0;0;1;1;;
6403;Christensen O.;;Fiorentina;26;P;Por;0;0;0;1;1;;
6210;Popa;;Torino;25;P;Por;0;0;0;1;1;;
6184;Martinelli T.;*;Fiorentina;19;P;Por;0;0;0;1;1;Betis Pinilla;1
6125;Vasquez D.;;Roma;27;P;Por;0;0;0;1;1;ASTRO NZONZI;3
5338;Rinaldi;;Parma;23;P;Por;0;0;0;1;1;;
5135;Guaita;;Parma;38;P;Por;0;0;0;1;4;;
5116;Martinez Jo.;;Inter;27;P;Por;2;6,25;5,75;1;2;Eintracht Piangoforte;1
4929;Ciocci;;Cagliari;23;P;Por;0;0;0;1;1;;
4867;Turati;;Sassuolo;24;P;Por;1;5,5;3,5;1;1;;
4518;Russo A.;*;Sassuolo;24;P;Por;0;0;0;1;1;;
2845;Contini;;Napoli;29;P;Por;0;0;0;1;1;;
2815;Terracciano;;Milan;35;P;Por;2;6;6;1;1;LAMINCHIADURA;7
2809;Vigorito;;Como;35;P;Por;0;0;0;1;1;;
2401;Fruchtl;;Lecce;25;P;Por;0;0;0;1;1;;
2297;Rossi F.;;Atalanta;34;P;Por;0;0;0;1;1;;
2271;Nicolas;;Pisa;37;P;Por;0;0;0;1;1;;
2211;Silvestri;;Cremonese;34;P;Por;4;6,38;4,62;1;2;;
2127;Satalino;;Sassuolo;26;P;Por;0;0;0;1;1;;
1930;Pinsoglio;;Juventus;35;P;Por;0;0;0;1;1;;
1926;Di Gennaro;;Inter;32;P;Por;0;0;0;1;1;;
610;Gollini;;Roma;30;P;Por;0;0;0;1;1;LAMINCHIADURA;1
574;Scuffet;;Pisa;29;P;Por;2;6;4,5;1;1;;
511;Perilli;;Verona;30;P;Por;0;0;0;1;1;;
219;Sommariva;;Genoa;28;P;Por;2;5,75;3,75;1;1;;
218;Perin;;Juventus;33;P;Por;2;6;5;1;2;Spezzacaviglie  FC;1
216;Donnarumma An.;*;Torino;35;P;Por;0;0;0;1;1;;
158;Lezzerini;;Fiorentina;30;P;Por;0;0;0;1;1;Betis Pinilla;1
4;Sportiello;;Atalanta;33;P;Por;0;0;0;1;1;;
3;Radunovic;*;Cagliari;29;P;Por;0;0;0;1;1;;
